Timp,Nivel de oxigen,Puls cardiac,Mişcare
20:46:14 15/10/2025,89,81,1
20:46:18 15/10/2025,90,85,1
20:46:22 15/10/2025,92,85,1
20:46:26 15/10/2025,92,81,2
20:46:30 15/10/2025,92,77,0
20:46:34 15/10/2025,90,74,0
20:46:38 15/10/2025,90,71,0
20:46:42 15/10/2025,90,69,0
20:46:46 15/10/2025,90,67,0
20:46:50 15/10/2025,90,65,0
20:46:54 15/10/2025,90,64,0
20:46:58 15/10/2025,89,64,0
20:47:02 15/10/2025,89,65,0
20:47:06 15/10/2025,89,68,0
20:47:10 15/10/2025,89,74,0
20:47:14 15/10/2025,89,76,0
20:47:18 15/10/2025,88,77,0
20:47:22 15/10/2025,88,76,4
20:47:26 15/10/2025,88,76,4
20:47:30 15/10/2025,88,77,1
20:47:34 15/10/2025,89,76,1
20:47:38 15/10/2025,90,74,1
20:47:42 15/10/2025,90,73,0
20:47:46 15/10/2025,91,73,1
20:47:50 15/10/2025,91,73,1
20:47:54 15/10/2025,90,72,1
20:47:58 15/10/2025,90,71,1
20:48:02 15/10/2025,89,73,1
20:48:06 15/10/2025,89,74,1
20:48:10 15/10/2025,89,74,0
20:48:14 15/10/2025,89,74,1
20:48:18 15/10/2025,89,74,1
20:48:22 15/10/2025,89,74,1
20:48:26 15/10/2025,89,74,1
20:48:30 15/10/2025,89,74,1
20:48:34 15/10/2025,89,73,1
20:48:38 15/10/2025,88,72,1
20:48:42 15/10/2025,88,73,1
20:48:46 15/10/2025,87,74,1
20:48:50 15/10/2025,87,74,1
20:48:54 15/10/2025,88,74,1
20:48:58 15/10/2025,88,74,1
20:49:02 15/10/2025,87,74,1
20:49:06 15/10/2025,87,75,1
20:49:10 15/10/2025,87,74,1
20:49:14 15/10/2025,87,74,1
20:49:18 15/10/2025,87,74,1
20:49:22 15/10/2025,87,75,1
20:49:26 15/10/2025,87,76,1
20:49:30 15/10/2025,87,74,1
20:49:34 15/10/2025,87,73,1
20:49:38 15/10/2025,87,73,1
20:49:42 15/10/2025,86,75,1
20:49:46 15/10/2025,86,75,1
20:49:50 15/10/2025,85,75,1
20:49:54 15/10/2025,86,75,1
20:49:58 15/10/2025,86,75,0
20:50:02 15/10/2025,86,75,1
20:50:06 15/10/2025,86,75,1
20:50:10 15/10/2025,87,75,1
20:50:14 15/10/2025,87,75,1
20:50:18 15/10/2025,86,76,1
20:50:22 15/10/2025,86,76,1
20:50:26 15/10/2025,86,75,1
20:50:30 15/10/2025,86,74,1
20:50:34 15/10/2025,86,73,1
20:50:38 15/10/2025,86,74,1
20:50:42 15/10/2025,85,74,1
20:50:46 15/10/2025,84,74,0
20:50:50 15/10/2025,84,74,1
20:50:54 15/10/2025,84,75,1
20:50:58 15/10/2025,84,75,1
20:51:02 15/10/2025,83,75,1
20:51:06 15/10/2025,83,76,1
20:51:10 15/10/2025,83,76,1
20:51:14 15/10/2025,83,76,1
20:51:18 15/10/2025,83,74,1
20:51:22 15/10/2025,84,72,0
20:51:26 15/10/2025,85,72,1
20:51:30 15/10/2025,85,73,0
20:51:34 15/10/2025,85,74,0
20:51:38 15/10/2025,85,75,0
20:51:42 15/10/2025,84,75,0
20:51:46 15/10/2025,84,74,0
20:51:50 15/10/2025,84,74,0
20:51:54 15/10/2025,84,75,0
20:51:58 15/10/2025,84,76,0
20:52:02 15/10/2025,84,76,1
20:52:06 15/10/2025,83,77,1
20:52:10 15/10/2025,84,78,1
20:52:14 15/10/2025,84,78,0
20:52:18 15/10/2025,85,77,0
20:52:22 15/10/2025,85,76,0
20:52:26 15/10/2025,85,76,0
20:52:30 15/10/2025,84,77,0
20:52:34 15/10/2025,84,77,0
20:52:38 15/10/2025,84,77,0
20:52:42 15/10/2025,84,76,1
20:52:46 15/10/2025,84,73,0
20:52:50 15/10/2025,84,74,0
20:52:54 15/10/2025,84,75,0
20:52:58 15/10/2025,84,74,1
20:53:02 15/10/2025,85,74,0
20:53:06 15/10/2025,85,74,1
20:53:10 15/10/2025,85,74,0
20:53:14 15/10/2025,85,75,0
20:53:18 15/10/2025,85,76,1
20:53:22 15/10/2025,85,77,0
20:53:26 15/10/2025,85,77,0
20:53:30 15/10/2025,84,76,0
20:53:34 15/10/2025,85,76,0
20:53:38 15/10/2025,85,76,1
20:53:42 15/10/2025,85,76,0
20:53:46 15/10/2025,85,77,0
20:53:50 15/10/2025,86,78,0
20:53:54 15/10/2025,86,79,1
20:53:58 15/10/2025,86,80,0
20:54:02 15/10/2025,86,78,1
20:54:06 15/10/2025,85,78,0
20:54:10 15/10/2025,85,78,0
20:54:14 15/10/2025,86,78,1
20:54:18 15/10/2025,85,77,0
20:54:22 15/10/2025,85,76,0
20:54:26 15/10/2025,84,75,0
20:54:30 15/10/2025,85,73,0
20:54:34 15/10/2025,85,73,0
20:54:38 15/10/2025,85,74,0
20:54:42 15/10/2025,85,75,0
20:54:46 15/10/2025,86,76,0
20:54:50 15/10/2025,86,76,1
20:54:54 15/10/2025,86,75,0
20:54:58 15/10/2025,86,75,0
20:55:02 15/10/2025,86,73,0
20:55:06 15/10/2025,87,72,0
20:55:10 15/10/2025,87,73,0
20:55:14 15/10/2025,88,75,1
20:55:18 15/10/2025,87,75,1
20:55:22 15/10/2025,87,75,0
20:55:26 15/10/2025,87,76,1
20:55:30 15/10/2025,86,77,0
20:55:34 15/10/2025,86,76,1
20:55:38 15/10/2025,86,74,1
20:55:42 15/10/2025,86,74,0
20:55:46 15/10/2025,86,74,0
20:55:50 15/10/2025,86,74,1
20:55:54 15/10/2025,86,75,0
20:55:58 15/10/2025,86,75,1
20:56:02 15/10/2025,86,74,1
20:56:06 15/10/2025,86,73,1
20:56:10 15/10/2025,86,72,0
20:56:14 15/10/2025,86,72,0
20:56:18 15/10/2025,86,74,0
20:56:22 15/10/2025,86,75,1
20:56:26 15/10/2025,86,74,0
20:56:30 15/10/2025,86,74,1
20:56:34 15/10/2025,86,75,1
20:56:38 15/10/2025,86,77,0
